bus_number,operator_type,service_variant,is_ac,origin,destination,route_stops,listed_stop_count,pandal_id,pandal_name,pandal_region,pandal_latitude,pandal_longitude,nearest_metro,nearest_metro_distance_km,matched_bus_stop,mapping_method,mapping_confidence,route_data_source,pandal_data_source
30A,Private,Standard,False,Sinthee,Esplanade,Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,8,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30C,Private,Standard,False,Hatiara,Babughat,Hela Battala;Jyangra;Ashwini Nagar;Baguiati;Kestopur;Dumdum Park;Laketown;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade,19,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
43,Private,Standard,False,Dakshineshwar,Esplanade,Alambazar;Deshbandhu Road;Bonhooghly;Baranagar Bazar;Cossipore;Bibibazar;Chitpur Bridge;Bagbazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,14,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
47B,Private,Standard,False,Laketown,Dhanmath,Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade;Park Street;Maidan Metro;Rabindra Sadan;Bhowanipore;Hazra More;Kalighat;Rashbehari;Rabindra Sarovar;Tollygunge Phari;Anwar Shah Road;Lake Gardens;South City;Jadavpur PS;Sapuipara;Kalikapur;EM Bypass;Ruby Hospital;Acropolis Mall,30,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
78,Private,Standard,False,Barrackpore Court,Esplanade,Titagarh;Khardah;Sodepur Girja;Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,17,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
211,Private,Standard,False,Ahiritola,Kharibari,BK Paul More;Sovabazar;Hatibagan;Khanna Cinema;Ultadanga;Sreebhumi;Laketown;Dumdum Park;Kestopur;Baguiati;Lokenath Mandir;Chinar Park;Salua Bazar;Rajarhat Chowmatha,14,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
214,Private,Standard,False,Sajirhat,Babughat,Sodepur Station;Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Dalhousie,15,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
214A,Private,Standard,False,Sodepur Girja,Esplanade,Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,14,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
215/1,Private,Standard,False,Laketown VIP,Howrah Station,Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Barabazar,10,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
215A,Private,Standard,False,Sector V,Howrah Station,SDF More;College More;Wipro More;Karunamoyee;Saltlake 9 Tank;Baisakhi More;Saltlake 4 Tank;Saltlake PNB;Ultadanga;Khanna Cinema;Hatibagan;Sovabazar;BK Paul More;Ahiritola;Jorabagan;Nimtala Ghat;Barabazar,17,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
219/1,Private,Standard,False,Nagerbazar,Howrah Station,Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Barabazar,12,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
222,Private,Standard,False,Sakher Bazar,Dunlop More,Behala Chowrasta;Behala 14 No.;Majerhat;Mominpore;Kidderpore;Hastings;PTS;Rabindra Sadan;Maidan Metro;Park Street;Esplanade;Chandni Market;Central Metro;MG Road;Girish Park;Sovabazar;Shyambazar;Chiria More;Sinthee More;Tobin Road;Bonhooghly,21,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
242,Private,Standard,False,Cossipore,Esplanade,Bibibazar;Chitpur Bridge;Bagbazar;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,8,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-159,Private Mini,Mini,False,Dunlop More,B.B.D. Bag,Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro,10,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-163,Private Mini,Mini,False,Shyambazar,B.B.D. Bag,Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro,5,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-168,Private Mini,Mini,False,Nagerbazar,Howrah Station,Dumdum Station;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Beadon Street;Jorabagan;Malapara;Barabazar,9,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-175,Private Mini,Mini,False,New Barrackpore,Howrah Station,BT College;Michael Nagar;Birati More;Airport 3 No.;Airport 1 No.;Kaikhali;Haldirams;Baguiati;Kestopur;Dumdum Park;Laketown;Sreebhumi;Ultadanga;Khanna Cinema;Hatibagan;Sovabazar;Girish Park;MG Road;Central Metro;Dalhousie;Barabazar,21,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-176,Private Mini,Mini,False,Shyambazar,Howrah Maidan,Rajballavpara;Sovabazar;BK Paul More;Ahiritola;Jorabagan;Malapara;Barabazar;Howrah Station,8,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S17A,WBTC,Special/Standard,False,Ariadaha Dakshineswar,Kundghat,Dakshineswar;Alambazar;Baranagar Bazar;Cossipore;Galiff Street;Bagbazar;Sova Bazar;Girishpark;MG Road;Central;Chadni;Esplanade;Parkstreet;Maidan;Exide;Bhawanipur;Hazra;Rashbehari;Tollygunj Phari,19,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S32A,WBTC,Special/Standard,False,Dunlop,Howrah Station,Tobin Road;Sinthi;Dumdum Chiriamore;Shyambazar;Sova Bazar;Girishpark;MG Road;Burrabazar,8,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
AC54,WBTC,AC,True,Kamarhati Rathtala,Howrah Station,Dunlop;Tobin Road;Sinthi;Dumdum Chiriamore;Shyambazar;Sova Bazar;Girishpark;MG Road;Burrabazar,9,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S57,WBTC,Special/Standard,False,Ariadaha,Nabanna Bus Terminus,Dakshineswar;Dunlop;Tobin Road;Sinthi;Dumdum Chiriamore;Shyambazar;Sova Bazar;Girishpark;MG Road;Central;BBD Bag;Esplanade;Park Street;Maidan;Exide;PTS;Hastings,17,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
3B,Private,Standard,False,New Alipore,Milk Colony,Durgapur Bridge;Rashbehari;Kalighat;Hazra;Bhawanipur;Rabindra Sadan;Maidan;Park Street;Esplanade;Chandni Chowk;Central;MG Road Metro;Girish Park;Shobhabazar;Shyambazar;Belgachia Metro,16,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
24,Private,Standard,False,Topsia,Bandha Ghat,Christopher Road;Panchkari More;Tangra More;RN Chowdhury Road;Palmer Bazar;Sealdah Station;College Street;MG Road;Barabazar;Howrah Station;Howrah Maidan;Pilkhana;Salkia Chowrasta,13,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
24B,Private,Standard,False,Sealdah Station,Howrah Station,College Street;MG Road;Barabazar,3,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
28,Private,Standard,False,Sealdah Station,Howrah Station,College Street;MG Road;Barabazar,3,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30A,Private,Standard,False,Sinthee,Esplanade,Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,8,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30C,Private,Standard,False,Hatiara,Babughat,Hela Battala;Jyangra;Ashwini Nagar;Baguiati;Kestopur;Dumdum Park;Laketown;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade,19,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
39A/2,Private,Standard,False,VIP Bazar,Howrah Station,Colony Bazar;Kustia More;Bondel Gate;Park Circus;Mallick Bazar;Moulali;Sealdah Station;College Street;MG Road;Barabazar,10,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
43,Private,Standard,False,Dakshineshwar,Esplanade,Alambazar;Deshbandhu Road;Bonhooghly;Baranagar Bazar;Cossipore;Bibibazar;Chitpur Bridge;Bagbazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,14,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
44,Private,Standard,False,Baguiati,Howrah Station,Kestopur;Dumdum Park;Laketown;Sreebhumi;Ultadanga;Kankurgachi;Phoolbagan;Rajabazar;Sealdah Station;College Street;MG Road;Barabazar,12,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
44/1,Private,Standard,False,Baguiati,Howrah Station,Kestopur;Dumdum Park;Laketown;Sreebhumi;Ultadanga;Kankurgachi;Phoolbagan;Beleghata;Sealdah Station;College Street;MG Road;Barabazar,12,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
44A,Private,Standard,False,Sector V,Howrah Station,SDF More;College More;Wipro More;Karunamoyee;Bikash Bhawan;City Centre 1;Saltlake CA Block;Saltlake PNB;Ultadanga;Khanna Cinema;Maniktala;Rajabazar;Sealdah Station;College Street;MG Road;Barabazar,16,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
47B,Private,Standard,False,Laketown,Dhanmath,Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade;Park Street;Maidan Metro;Rabindra Sadan;Bhowanipore;Hazra More;Kalighat;Rashbehari;Rabindra Sarovar;Tollygunge Phari;Anwar Shah Road;Lake Gardens;South City;Jadavpur PS;Sapuipara;Kalikapur;EM Bypass;Ruby Hospital;Acropolis Mall,30,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
78,Private,Standard,False,Barrackpore Court,Esplanade,Titagarh;Khardah;Sodepur Girja;Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,17,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
214,Private,Standard,False,Sajirhat,Babughat,Sodepur Station;Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Dalhousie,15,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
214A,Private,Standard,False,Sodepur Girja,Esplanade,Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,14,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
215,Private,Standard,False,Moonbeam,Howrah Station,Akankha More;City Center 2;Chinar Park;Lokenath Mandir;Baguiati;Kestopur;Dumdum Park;Laketown;Sreebhumi;Ultadanga;Kankurgachi;Maniktala;Vivekananda Road;Girish Park;MG Road;Barabazar,16,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
215/1,Private,Standard,False,Laketown VIP,Howrah Station,Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Barabazar,10,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
215A/1,Private,Standard,False,Sector V,Howrah Station,SDF More;College More;Wipro More;Karunamoyee;Bikash Bhawan;City Center 1;Saltlake CA Block;Saltlake PNB;Ultadanga;Khanna Cinema;Maniktala;Vivekananda Road;Girish Park;MG Road;Barabazar,15,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
219,Private,Standard,False,Nagerbazar,Howrah Station,Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Hatibagan;Hedua More;Vivekananda Road;College Street;MG Road;Barabazar,13,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
219/1,Private,Standard,False,Nagerbazar,Howrah Station,Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Barabazar,12,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
222,Private,Standard,False,Sakher Bazar,Dunlop More,Behala Chowrasta;Behala 14 No.;Majerhat;Mominpore;Kidderpore;Hastings;PTS;Rabindra Sadan;Maidan Metro;Park Street;Esplanade;Chandni Market;Central Metro;MG Road;Girish Park;Sovabazar;Shyambazar;Chiria More;Sinthee More;Tobin Road;Bonhooghly,21,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
237,Private,Standard,False,Birati Tantkal,Babughat,Birati Station;Birati More;Airport 3 No.;Airport 1 No.;Kaikhali;Haldirams;Baguiati;Kestopur;Dumdum Park;Laketown;Sreebhumi;Ultadanga;Kankurgachi;Maniktala;Vivekananda Road;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade,20,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
242,Private,Standard,False,Cossipore,Esplanade,Bibibazar;Chitpur Bridge;Bagbazar;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,8,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-152,Private Mini,Mini,False,Baguiati,B.B.D. Bag,Kestopur;Dumdum Park;Laketown;Sreebhumi;Ultadanga;Kankurgachi;Maniktala;Vivekananda Road;Girish Park;MG Road;Central Metro,11,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-159,Private Mini,Mini,False,Dunlop More,B.B.D. Bag,Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro,10,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-163,Private Mini,Mini,False,Shyambazar,B.B.D. Bag,Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro,5,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-172,Private Mini,Mini,False,Tegharia,Howrah Maidan,Baguiati;Kestopur;Dumdum Park;Laketown;Sreebhumi;Ultadanga;Khanna Cinema;Maniktala;Vivekananda Road;Girish Park;MG Road;Barabazar,12,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-175,Private Mini,Mini,False,New Barrackpore,Howrah Station,BT College;Michael Nagar;Birati More;Airport 3 No.;Airport 1 No.;Kaikhali;Haldirams;Baguiati;Kestopur;Dumdum Park;Laketown;Sreebhumi;Ultadanga;Khanna Cinema;Hatibagan;Sovabazar;Girish Park;MG Road;Central Metro;Dalhousie;Barabazar,21,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
AC-2,WBTC,AC,True,Barasat Chapadali,Howrah Station,Dakbanglow More;Madhyamgram;BT College;Birati More;Airport 1 No.;Kaikhali;Haldirams;Baguiati;Kestopur;Dumdum Park;Laketown;Sreebhumi;Ultadanga;Kankurgachi;Maniktala;Girish Park;MG Road;Barabazar,18,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S10,WBTC,Special/Standard,False,Airport Gate 3,Nabanna Bus Terminus,Airport Gate 1;Central Jail;Nagerbazar;Diamond Plaza;Bangur;Lake Town;Patipukur;Belgachia;Shyambazar;Girishpark;MG Road;Central;Esplanade;Park Street;Maidan;Exide;PTS;Hastings,18,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S17A,WBTC,Special/Standard,False,Ariadaha Dakshineswar,Kundghat,Dakshineswar;Alambazar;Baranagar Bazar;Cossipore;Galiff Street;Bagbazar;Sova Bazar;Girishpark;MG Road;Central;Chadni;Esplanade;Parkstreet;Maidan;Exide;Bhawanipur;Hazra;Rashbehari;Tollygunj Phari,19,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S32A,WBTC,Special/Standard,False,Dunlop,Howrah Station,Tobin Road;Sinthi;Dumdum Chiriamore;Shyambazar;Sova Bazar;Girishpark;MG Road;Burrabazar,8,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
AC54,WBTC,AC,True,Kamarhati Rathtala,Howrah Station,Dunlop;Tobin Road;Sinthi;Dumdum Chiriamore;Shyambazar;Sova Bazar;Girishpark;MG Road;Burrabazar,9,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S57,WBTC,Special/Standard,False,Ariadaha,Nabanna Bus Terminus,Dakshineswar;Dunlop;Tobin Road;Sinthi;Dumdum Chiriamore;Shyambazar;Sova Bazar;Girishpark;MG Road;Central;BBD Bag;Esplanade;Park Street;Maidan;Exide;PTS;Hastings,17,2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Mahatma Gandhi Road,0.7,mg road metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
3B,Private,Standard,False,New Alipore,Milk Colony,Durgapur Bridge;Rashbehari;Kalighat;Hazra;Bhawanipur;Rabindra Sadan;Maidan;Park Street;Esplanade;Chandni Chowk;Central;MG Road Metro;Girish Park;Shobhabazar;Shyambazar;Belgachia Metro,16,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
